REFERENCE_NUM,PRODUCT_INDEX,VEHICLE_MODEL_CODE,CLAIMNO,CLAIM_NO,PARTNO,PARTDESCRIPTION,TOTAL_AMOUNT,NUM_CLAIM_NO
201912050076620,N003410,38308.0,'23002026464400000001,C230020264644,11620M53M00,"MOUNTING COMP,ENG LH",406.25,2.30020264644e+19
201912050076620,N003410,38308.0,'23002026464400000001,C230020264644,72350M79F01,"BRACKET COMP,STABILIZER,R",183.59,2.30020264644e+19
201912050076620,N003410,38308.0,'23002026464400000001,C230020264644,37400M53M40,"SWITCH ASSY,COMB",3224.57,2.30020264644e+19
202004180011678,N000706,21829.0,'23002025734500000001,C230020257345,35500M75J11,"FRONT FOG LAMP,YN4",940.67,2.30020257345e+19
202004180011678,N000706,21829.0,'23002025734500000001,C230020257345,42420M75J02,"JOINT COMP,FR STABILIZER BAR",406.25,2.30020257345e+19
202007200035972,N000706,30557.0,'23002031067600000001,C230020310676,72422M68P01,"COVER, ENGINE UNDER SIDE, L",199.21,2.30020310676e+19
202007200035972,N000706,30557.0,'23002031067600000001,C230020310676,71711M50S00-5PK,"BUMPER,FRONT",1984.37,2.30020310676e+19
202007200035972,N000706,30557.0,'23002031067600000001,C230020310676,99000M24121-085,HINGE RELIEF WAX,190.67,2.30020310676e+19
201911010097702,N000706,30557.0,'23002017715900000001,C230020177159,42420M78L02,"JOINT COMP,FR STABILIZER BAR",367.18,2.30020177159e+19
201911010097702,N000706,30557.0,'23002017715900000001,C230020177159,48150M68P10-C48,"MODULE ASSY,AIRBAG(CHROME)",3347.65,2.30020177159e+19
201911010097702,N000706,30557.0,'23002017715900000001,C230020177159,57711M68P00,"PANEL,FRONT FENDER,L",898.43,2.30020177159e+19
201911010097702,N000706,30557.0,'23002017715900000001,C230020177159,72421M68P01,"COVER,ENGINE UNDER SIDE,R",148.43,2.30020177159e+19
202001060146263,N000706,19224.0,'23002032347600000001,C230020323476,71771M67LA0-5PK,"GRILLE,RADIATOR LOWER",453.12,2.30020323476e+19
202001060146263,N000706,19224.0,'23002032347600000001,C230020323476,17700M67L00,RADIATOR ASSY,2000.0,2.30020323476e+19
202001300087496,N000706,29658.0,'23002032323500000001,C230020323235,99000M24120-460,DG SEALANT SET WITHOUT PRIMER,572.88,2.30020323235e+19
202009180104331,N000706,26692.0,'23002032120000000001,C230020321200,71811M53M00-5PK,"BUMPER,REAR",1406.25,2.300203212e+19
202009180104331,N000706,26692.0,'23002032120000000001,C230020321200,83714M62B00,CLIP DOOR TRIM,2.34,2.300203212e+19
202009180104331,N000706,26692.0,'23002032120000000001,C230020321200,71821M53M00,"HOLDER,RR BUMPER SIDE,R",50.78,2.300203212e+19
202009180104331,N000706,26692.0,'23002032120000000001,C230020321200,990J0M999Z0-330,Multi Hole Disc P400,2114.4,2.300203212e+19
202009180104331,N000706,26692.0,'23002032120000000001,C230020321200,990J0M999H2-170,BDY WTRPROF SHEET- P1500 PCK OF 50P,3091.52,2.300203212e+19
202006150047462,N000706,23101.0,'23002021783800000001,C230020217838,84511M56R00,GLASS WINDSHIELD,3211.86,2.30020217838e+19
202006150047462,N000706,23101.0,'23002021783800000001,C230020217838,99000M24120-290,SEALENT SET,605.93,2.30020217838e+19
202006150047462,N000706,23101.0,'23002021783800000001,C230020217838,64111M56R00-P11,"PANEL, A-PLR RH",1796.87,2.30020217838e+19
202006150047462,N000706,23101.0,'23002021783800000001,C230020217838,71721M56R00-5PK,"GRILLE, RADIATOR LOWER",183.59,2.30020217838e+19
202006150047462,N000706,23101.0,'23002021783800000001,C230020217838,71781M56R10-0PG,"GARNISH, FR BUMPER LOWER, R",339.84,2.30020217838e+19
202006150047462,N000706,23101.0,'23002021783800000001,C230020217838,35750M56R00,"LAMP,  UNIT RR COMB LH",1915.25,2.30020217838e+19
202006150047462,N000706,23101.0,'23002021783800000001,C230020217838,83821M55R00,"WEATHERSTRIP, FRONT DOOR OUT, L",195.31,2.30020217838e+19
