REFERENCE_NUM,PRODUCT_INDEX,VEHICLE_MODEL_CODE,CLAIMNO,NUM_CLAIM_NO,TXT_PARTS_GROUP_NAME,TXT_PARTS_NAME,TOTAL_AMOUNT,NUM_PART_CODE
202010100071406,N000706,30558.0,'23002201484500000001,2.30022014845e+19,Rubber Plastic Parts,Head Light Right,12923.72,1023
202203100025816,N000706,12798.0,'23002202666900000001,2.30022026669e+19,Metalic Parts,Fender Panel Front Left,1070.0,1020
201911200057985,N000706,17660.0,'23002142359700000001,2.30021423597e+19,Metalic Parts,CONNROD ASSY,937.5,9999
201911200057985,N000706,17660.0,'23002142359700000001,2.30021423597e+19,Rubber Plastic Parts,SEAL CRANKSHAFT REAR OIL,148.3,9999
202108250008391,N000706,20646.0,'23002204028900000001,2.30022040289e+19,Rubber Plastic Parts,Moulding Front Windshield,269.0,1035
202112060098988,N000706,30557.0,'23002202413200000001,2.30022024132e+19,Metalic Parts,Bonnet|Hood Assembly,4148.0,1002
202112060098988,N000706,30557.0,'23002202413200000001,2.30022024132e+19,Rubber Plastic Parts,Grille Radiator Lower,425.0,2051
202112060098988,N000706,30557.0,'23002202413200000001,2.30022024132e+19,Rubber Plastic Parts,Moulding,35.0,9999
202103230128798,N000706,20233.0,'23002148831300000001,2.30021488313e+19,Rubber Plastic Parts,Bumper Rear Assembly,2253.9,1007
202107200096320,N000706,31266.0,'23002202515100000001,2.30022025151e+19,Rubber Plastic Parts,Head Light Right,5961.86,1023
202107200096320,N000706,31266.0,'23002202515100000001,2.30022025151e+19,Rubber Plastic Parts,"COVER,ENGINE UNDER",769.53,9999
202201030076509,N014289,37342.0,'23002148104500000001,2.30021481045e+19,Metalic Parts,A Pillar Front Inner Right,109.37,1482
202201030076509,N014289,37342.0,'23002148104500000001,2.30021481045e+19,Metalic Parts,A Pillar Front Right,550.78,1019
202201030076509,N014289,37342.0,'23002148104500000001,2.30021481045e+19,Metalic Parts,Knuckle Right,203.9,2197
202201030076509,N014289,37342.0,'23002148104500000001,2.30021481045e+19,Metalic Parts,Panel Comp Front Corner L,242.18,9999
202201030076509,N014289,37342.0,'23002148104500000001,2.30021481045e+19,Rubber Plastic Parts,Reflector Visibility Rear Left,56.77,1857
202201030076509,N014289,37342.0,'23002148104500000001,2.30021481045e+19,Rubber Plastic Parts,Reflector Visibility Rear Right,56.77,1858
202201030076509,N014289,37342.0,'23002148104500000001,2.30021481045e+19,Rubber Plastic Parts,Garnish Bumper Head Light Left,42.96,2025
202201030076509,N014289,37342.0,'23002148104500000001,2.30021481045e+19,Rubber Plastic Parts,Weatherstrip Assembly Door Front Left,250.0,1783
202112020045353,N000706,12793.0,'23002202395300000001,2.30022023953e+19,Glass Parts,Windshield Glass Front,3010.0,1003
202110060057410,N000706,36542.0,'23002150252100000001,2.30021502521e+19,Rubber Plastic Parts,Head Light Left,2076.0,1022
202011040135567,N000706,17662.0,'23002150086300000001,2.30021500863e+19,Metalic Parts,Door Front Left,4433.59,1016
202011040135567,N000706,17662.0,'23002150086300000001,2.30021500863e+19,Metalic Parts,Door Rear Left,4531.25,1014
202112090054810,N000706,40506.0,'23002202255700000001,2.30022022557e+19,Rubber Plastic Parts,"HOLDER,FR BUMPER SIDE,R",47.65,9999
201909140120614,N000706,20233.0,'23002146531600000001,2.30021465316e+19,Metalic Parts,MEMBER LAMP SUPPORT RH,195.31,9999
201909140120614,N000706,20233.0,'23002146531600000001,2.30021465316e+19,Metalic Parts,CONDENSER ASSY,3398.43,9999
202109060006897,N000706,29939.0,'23002203907300000001,2.30022039073e+19,Rubber Plastic Parts,Tail Light Left,1033.0,1008
202103220134935,N000706,18914.0,'23002149895400000001,2.30021498954e+19,Metalic Parts,Back Panel Assembly,1521.0,1429
202103220134935,N000706,18914.0,'23002149895400000001,2.30021498954e+19,Rubber Plastic Parts,Tail Light Left,4364.0,1008
202103220134935,N000706,18914.0,'23002149895400000001,2.30021498954e+19,Glass Parts,Windshield Glass Rear,2086.0,1005
202104090036024,N000706,31651.0,'23002151160600000001,2.30021511606e+19,Rubber Plastic Parts,Side Rear View Mirror Outer Assembly Left,4441.0,2093
202201280073691,N000706,31267.0,'23002150792600000001,2.30021507926e+19,Metalic Parts,Apron Fender Left,6163.0,1427
202111100031499,N000706,25375.0,'23002202496200000001,2.30022024962e+19,Metalic Parts,Quarter Panel Rear Right,5217.0,1011
202201150046508,N000706,31267.0,'23002203991500000001,2.30022039915e+19,Rubber Plastic Parts,Head Light Right,6033.0,1023
202201310074504,N000706,30557.0,'23002200205600000001,2.30022002056e+19,Metalic Parts,Carrier Radiator Support Upper Member,890.62,1464
202201310074504,N000706,30557.0,'23002200205600000001,2.30022002056e+19,Rubber Plastic Parts,Bumper Absorber Front 1,562.5,1443
202111260012870,N000706,30558.0,'23002202231600000001,2.30022022316e+19,Rubber Plastic Parts,Side Rear View Mirror Outer Assembly Right,4139.83,2094
202109240001191,N000706,23103.0,'23002202608800000001,2.30022026088e+19,Rubber Plastic Parts,Bumper Rear Assembly,1914.06,1007
202201310074504,N000706,30557.0,'23002200205600000001,2.30022002056e+19,Metalic Parts,Fender Panel Front Left,1394.53,1020
202201310074504,N000706,30557.0,'23002200205600000001,2.30022002056e+19,Metalic Parts,Hinge Bonnet|Hood Right,183.59,2054
202201310074504,N000706,30557.0,'23002200205600000001,2.30022002056e+19,Rubber Plastic Parts,Grille Radiator Lower,425.78,2051
202201310074504,N000706,30557.0,'23002200205600000001,2.30022002056e+19,Consumable,CLIP,39.0,9999
202201310074504,N000706,30557.0,'23002200205600000001,2.30022002056e+19,Rubber Plastic Parts,Grille Radiator Upper,570.31,1024
202202180082987,N000706,20646.0,'23002202771700000001,2.30022027717e+19,Glass Parts,Windshield Glass Front,2686.44,1003
202106180035179,N000706,19224.0,'23002203620500000001,2.30022036205e+19,Rubber Plastic Parts,Bumper Front Assembly,1113.0,1001
202109290025043,N000706,31268.0,'23002202044100000001,2.30022020441e+19,Rubber Plastic Parts,Head Light Left,5957.62,1022
202109290025043,N000706,31268.0,'23002202044100000001,2.30022020441e+19,Rubber Plastic Parts,"GUARD ASSY,FR FENDER SPLASH,L",449.21,9999
202109020016061,N000706,30209.0,'23002203730400000001,2.30022037304e+19,Rubber Plastic Parts,Bumper Front Assembly,1460.93,1001
202109040055652,N000706,38125.0,'23002200199800000001,2.30022001998e+19,Rubber Plastic Parts,FAN,3199.21,9999
202109040055652,N000706,38125.0,'23002200199800000001,2.30022001998e+19,Rubber Plastic Parts,"GARNISH,COWL",25.78,9999
202109040055652,N000706,38125.0,'23002200199800000001,2.30022001998e+19,Rubber Plastic Parts,CONTROLLER ASSY,860.16,9999
202108190088797,N000706,25375.0,'23002202551700000001,2.30022025517e+19,Rubber Plastic Parts,Emblem|Logo Rear Middle,125.0,1086
202112100076626,N000706,27582.0,'23002202107900000001,2.30022021079e+19,Rubber Plastic Parts,Tyre Front Left,2523.0,1025
202112280068592,N000706,26178.0,'23002151039700000001,2.30021510397e+19,Rubber Plastic Parts,Grille Radiator Lower,258.0,2051
202201050063505,N000706,30709.0,'23002201255100000001,2.30022012551e+19,Rubber Plastic Parts,"LINING, FRONT FENDER LH",410.15,9999
202201050063505,N000706,30709.0,'23002201255100000001,2.30022012551e+19,Rubber Plastic Parts,"TAPE, FRONT DOOR OUTER ROOF",216.1,9999
202203140093019,N000706,30558.0,'23002202564400000001,2.30022025644e+19,Rubber Plastic Parts,EMBLEM(BALENO)(CHROME),125.0,9999
202108160023067,N000706,12796.0,'23002202529100000001,2.30022025291e+19,Rubber Plastic Parts,Bracket 1,50.78,2360
202104080034302,N000706,12796.0,'23002145576100000001,2.30021455761e+19,Metalic Parts,Bumper Rail Front,1223.0,1447
202104080034302,N000706,12796.0,'23002145576100000001,2.30021455761e+19,Rubber Plastic Parts,Cabin Floor Under Guard Cover Left,225.0,1457
202104080034302,N000706,12796.0,'23002145576100000001,2.30021455761e+19,Metalic Parts,Stabilizer Link,402.0,2255
202104080034302,N000706,12796.0,'23002145576100000001,2.30021455761e+19,Metalic Parts,Hinge Bonnet|Hood Left,253.0,2053
202104080034302,N000706,12796.0,'23002145576100000001,2.30021455761e+19,Rubber Plastic Parts,Trim Assembly Cowl Side Left,25.0,1740
202104080034302,N000706,12796.0,'23002145576100000001,2.30021455761e+19,Rubber Plastic Parts,Airbag Driver Seat,2361.0,1567
202104080034302,N000706,12796.0,'23002145576100000001,2.30021455761e+19,Rubber Plastic Parts,Seat Belt Front Driver,3039.0,1690
202104090008483,N000706,41854.0,'23002149636600000001,2.30021496366e+19,Rubber Plastic Parts,"BUMPER,FRONT",2042.96,9999
202104090008483,N000706,41854.0,'23002149636600000001,2.30021496366e+19,Metalic Parts,"MEMBER COMP,HOOD LOCK",1359.37,9999
202104080034302,N000706,12796.0,'23002145576100000001,2.30021455761e+19,Rubber Plastic Parts,Seat Belt Front Passenger,2960.0,1691
202104080034302,N000706,12796.0,'23002145576100000001,2.30021455761e+19,Rubber Plastic Parts,Bracket 9,49.0,2368
202201140048688,N000706,36544.0,'23002150038800000001,2.30021500388e+19,Metalic Parts,Member Front Side Lh,6738.3,9999
202201140048688,N000706,36544.0,'23002150038800000001,2.30021500388e+19,Metalic Parts,Panel Comp Cowl Top,433.59,9999
202201140048688,N000706,36544.0,'23002150038800000001,2.30021500388e+19,Rubber Plastic Parts,Harness Assy ENG,7199.2,9999
202201140048688,N000706,36544.0,'23002150038800000001,2.30021500388e+19,Rubber Plastic Parts,Holder Fr Hood Stay,7.8,9999
202201140048688,N000706,36544.0,'23002150038800000001,2.30021500388e+19,Rubber Plastic Parts,Absorber Fr Bumper Lower,531.25,9999
202201140048688,N000706,36544.0,'23002150038800000001,2.30021500388e+19,Rubber Plastic Parts,Garnish I/P Center Upper,250.0,9999
202104090008483,N000706,41854.0,'23002149636600000001,2.30021496366e+19,Rubber Plastic Parts,HEADLAMP ASSY RH,17334.74,9999
202204070021722,N000706,31339.0,'23002202450500000001,2.30022024505e+19,Metalic Parts,MEMBER HOOD LOCK,695.31,9999
202204070021722,N000706,31339.0,'23002202450500000001,2.30022024505e+19,Metalic Parts,MEMBER LAMP SUPPORT RH & LH,265.62,9999
202204070021722,N000706,31339.0,'23002202450500000001,2.30022024505e+19,Rubber Plastic Parts,Hose Suction,1515.62,1064
202202250094897,N000706,18911.0,'23002201006800000001,2.30022010068e+19,Metalic Parts,CONDENSER ASSY ,4355.0,9999
202202250094897,N000706,18911.0,'23002201006800000001,2.30022010068e+19,Rubber Plastic Parts,RADIATOR ASSY,2808.0,9999
202201140048688,N000706,36544.0,'23002150038800000001,2.30021500388e+19,Rubber Plastic Parts,Ac Gas Can,567.78,9999
202106050064613,N000706,35708.0,'23002148971000000001,2.3002148971e+19,Rubber Plastic Parts,Radiator Cooling Fan Assembly,2449.21,1339
202106050064613,N000706,35708.0,'23002148971000000001,2.3002148971e+19,Rubber Plastic Parts,Garnish Fog Light Left,56.25,2042
202109130050814,N000706,36262.0,'23002202000900000001,2.30022020009e+19,Rubber Plastic Parts,Head Light Left,3436.4,1022
202109130050814,N000706,36262.0,'23002202000900000001,2.30022020009e+19,Consumable,holder,55.4,9999
202112180055476,N000706,41761.0,'23002201319100000001,2.30022013191e+19,Rubber Plastic Parts,Tyre Front Right,4293.75,1026
202112170076989,N000706,38119.0,'23002203130400000001,2.30022031304e+19,Consumable,nut and clips,86.0,9999
202105310017863,N000706,38319.0,'23002201946500000001,2.30022019465e+19,Rubber Plastic Parts,Bumper Rear Assembly,941.4,1007
202108130065204,N000706,25372.0,'23002201947200000001,2.30022019472e+19,Metalic Parts,AC Condenser Assembly,3269.53,1053
202201240087054,N000706,36956.0,'23002203268900000001,2.30022032689e+19,Metalic Parts,"EXTENSION,SIDE BODY OTR,R",218.75,9999
202201240087054,N000706,36956.0,'23002203268900000001,2.30022032689e+19,Rubber Plastic Parts,"TRIM, TAIL END (BLACK)",382.81,9999
202105120007708,N000706,32287.0,'23002204156300000001,2.30022041563e+19,Rubber Plastic Parts,Bumper Front Assembly,1476.56,1001
202105120007708,N000706,32287.0,'23002204156300000001,2.30022041563e+19,Rubber Plastic Parts,"GRILLE,RADIATOR LOWER",406.25,9999
202108120044376,N000706,18911.0,'23002202544800000001,2.30022025448e+19,Rubber Plastic Parts,Bumper Front Assembly,1911.0,1001
202201270072571,N000706,18914.0,'23002201969100000001,2.30022019691e+19,Rubber Plastic Parts,Bumper Under Guard Cover,140.63,1456
202201270072571,N000706,18914.0,'23002201969100000001,2.30022019691e+19,Rubber Plastic Parts,Head Light Left,2165.25,1022
202112170015337,N000706,25375.0,'23002204314400000001,2.30022043144e+19,Rubber Plastic Parts,"BRACKET,PARK SNSR",72.88,9999
202103070040065,N000706,30135.0,'23002145233000000001,2.3002145233e+19,Rubber Plastic Parts,Sealent Set,1288.12,9999
